date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
2022/9/8;Fiesta local;Tokiko jai-eguna;Murueta;Murueta;Bizkaia;908;43,354463;-2,684153
2022/6/24;San Juan;San Juan;Muskiz;Muskiz;Bizkaia;71;43,323333;-3,121667
2022/10/31;Último lunes de octubre de Gernika;Gernikako urriko azken astelehena;Muxika;Muxika;Bizkaia;67;43,289668;-2,692941
2022/9/8;Andra Mari;Andra Mari eguna;Nabarniz;Nabarniz;Bizkaia;909;43,321597;-2,584400
2022/8/17;Día del pescador;Arrantzale eguna;Ondarroa;Ondarroa;Bizkaia;73;43,320698;-2,420475
2022/9/2;San Antolin;San Antolin;Orozko;Orozko;Bizkaia;75;43,108611;-2,911111
2022/5/18;San Félix de Cantalicio;Kantaliziozko Felix Deuna;Ortuella;Ortuella;Bizkaia;83;43,311370;-3,055952
2022/7/18;Santa Marina;Santa Marina;Otxandio  ;Otxandio  ;Bizkaia;72;43,040447;-2,654584
2022/7/22;La Magdalena;La Magdalena;Plentzia  ;Plentzia  ;Bizkaia;77;43,404430;-2,950102
2022/8/16;San Roque;San Roque;Portugalete  ;Portugalete  ;Bizkaia;78;43,320664;-3,020252
